timestamp,T_out,T_down,T_kitchen,WATT,T_up,T_brine_in,T_brine_out,T_cellar
2018-02-01T00:00:00Z,1.97605263157895,38.3671806167401,20.5121052631579,2.78016666666667,40.0280176211454,3.69,2.0685141903172,10.965205811138
2018-02-01T01:40:00Z,2.38,36.94,20.19,3.04533333333333,39.06,3.56,1.9914858096828,10.9244307692308
2018-02-01T03:25:00Z,2.21122340425532,37.71592,20.19,3.06,39.84024,3.598391959799,1.96160804020101,10.9829818181818
2018-02-01T05:10:00Z,1.96495575221239,37.94,20.25,3.15157894736842,40.0237885462555,3.61133004926108,2.06866995073892,10.8880492813142
2018-02-01T06:55:00Z,0.349133858267717,37.5512928759895,20.4064566929134,3.25716666666667,39.8568601583114,3.69,2.12,10.9413801452785
2018-02-01T08:40:00Z,1.44,31.4402702702703,19.7252,3.73533333333333,31.5002702702703,3.63,1.99142857142857,10.8463282051282
2018-02-01T10:25:00Z,2.25,40.9165135135135,20.1510483870968,4.31233333333333,44.44,2.7330303030303,1.26525252525253,10.7929818181818
2018-02-01T12:10:00Z,2.88,37.024,20.12,2.819,38.71,3.69841584158416,2.17176567656766,10.8736717948718
2018-02-01T13:55:00Z,3.0,36.2162105263158,20.0,3.60466666666667,38.3405789473684,3.53836393989983,1.96163606010017,10.9556727272727
2018-02-01T15:40:00Z,2.81,37.19,19.81,3.28716666666667,39.31,3.56,1.98322795341098,10.8763282051282
2018-02-01T17:25:00Z,3.06,37.12,20.19,3.23183333333333,39.25,3.5813,1.94,10.9543272727273
2018-02-01T19:10:00Z,3.12,37.88,20.38,3.6306779661017,40.0,3.57894039735099,1.98251655629139,10.7932923076923
2018-02-01T20:55:00Z,3.06,30.7126649076517,20.493474801061,2.57816666666667,30.8382849604222,3.47846410684474,1.81,10.8192503022975
2018-02-01T22:40:00Z,2.64806167400881,29.2294736842105,20.0,4.05483333333333,32.2149122807018,3.17155258764608,1.42053422370618,10.5829568788501
2018-02-02T00:25:00Z,2.5,40.0246524064171,20.151256684492,3.5580303030303,43.9646524064171,2.41831932773109,0.75,10.4256727272727
2018-02-02T02:10:00Z,2.31,37.0733031674208,20.0846428571429,1.34611111111111,38.8060633484163,3.38,1.86192052980132,10.34
2018-02-02T03:55:00Z,0.450419947506562,37.2009259259259,20.0,1.86366666666667,39.5809259259259,3.19,1.66462932454695,10.2370181818182
2018-02-02T05:40:00Z,-1.12,40.3368493150685,19.7861643835616,2.58083333333333,43.2360273972603,2.80183193277311,1.27586554621849,10.1563282051282
2018-02-02T07:25:00Z,-1.80750670241287,39.7841018766756,20.0334584450402,2.56772727272727,42.5,2.83517647058824,1.40157983193277,9.92432727272727
2018-02-02T09:10:00Z,-2.58448430493274,33.8318584070796,18.7255156950673,2.29614035087719,34.0179646017699,2.5535737704918,0.923704918032787,9.7511704312115
2018-02-02T10:55:00Z,-3.0,44.2189973614776,18.2746684350133,4.20733333333333,48.2001583113457,2.12,0.576871880199667,9.73432889963724
2018-02-02T12:40:00Z,-3.27389380530973,41.6630530973451,18.2861061946903,2.72,44.56,2.56,0.975535117056856,9.57555441478439
2018-02-02T14:25:00Z,-3.47312,41.8938829787234,18.34136,3.06,45.1103723404255,2.38,1.04297297297297,9.57567272727273
2018-02-02T16:10:00Z,-3.96495575221239,41.4758928571429,18.2250442477876,3.38035087719298,44.5358928571429,2.43127272727273,1.0,9.44
2018-02-02T17:55:00Z,-4.62,42.5259162303665,18.7164566929134,3.21916666666667,45.7159162303665,2.31,0.880084602368866,9.34338983050847
2018-02-02T19:40:00Z,-4.69,42.5236771300448,19.38,3.44083333333333,45.7136771300448,2.31,0.888471760797342,9.25493333333333
2018-02-02T21:25:00Z,-4.69,42.3492,19.578,3.63,45.5672,2.25,0.856319327731093,9.2030387409201
2018-02-02T23:10:00Z,-4.7746288209607,42.5362608695652,19.1487336244542,3.33578947368421,45.7262608695652,2.25,0.768723404255319,9.15753593429158
2018-02-03T00:55:00Z,-5.09363157894737,31.6858311345646,18.5936315789474,3.11266666666667,33.0200527704485,2.7882,1.10723333333333,8.98567272727273
2018-02-03T02:40:00Z,-4.56,36.3429545454546,18.25,3.6055,40.3803181818182,1.93183193277311,0.111831932773109,8.98784615384616
2018-02-03T04:25:00Z,-4.25,44.60792,18.8822222222222,3.20045454545455,47.71584,2.07636363636364,0.664545454545455,8.98567272727273
2018-02-03T06:10:00Z,-3.7252,41.838125,18.6489333333333,3.04207547169811,45.06,2.19,0.741400651465798,8.96886153846154
2018-02-03T07:55:00Z,-3.88,42.2242631578947,18.6507631578947,2.94183333333333,45.4142631578947,2.16439868204283,0.75,8.89432727272727
2018-02-03T09:40:00Z,-3.77714453584019,44.5471226415094,18.8540423031727,3.7736231884058,48.0229952830189,1.94,0.554560592044403,8.8736717948718
2018-02-03T11:25:00Z,-3.3488471849866,40.81,18.5332975871314,3.41111111111111,43.9319786096257,2.16479061976549,0.788391959798995,8.79298181818182
2018-02-03T13:05:00Z,-3.13237837837838,41.1597855227882,18.5774054054054,4.88777777777778,44.3238873994638,2.06,0.645092127303183,8.6912
2018-02-03T14:50:00Z,-3.35162995594714,41.5975877192983,18.19,4.33385964912281,45.4502631578947,2.04274380165289,0.421305785123967,8.79479418886199
2018-02-03T16:35:00Z,-3.31,39.90368,18.6589920424403,4.55066666666667,40.20408,2.16487479131886,0.581535893155259,8.8348
2018-02-03T18:20:00Z,-3.19,29.8826126126126,18.5959459459459,9.46633333333333,30.0355855855856,2.5,0.974324324324324,8.82974545454546
